Executing training
_________________________________________
Starting epoch 1
Training Epoch 1: [0%   Loss: 3.210479]
Training Epoch 1: [80%   Loss: 1.098982]
Training Epoch 1: [81%   Loss: 0.930223]
Training Epoch 1: [82%   Loss: 0.665523]
Training Epoch 1: [83%   Loss: 0.630786]
Training Epoch 1: [84%   Loss: 0.590189]
Training Epoch 1: [85%   Loss: 0.552456]
Training Epoch 1: [86%   Loss: 0.630261]
Training Epoch 1: [87%   Loss: 0.753362]
Training Epoch 1: [89%   Loss: 0.686741]
Training Epoch 1: [90%   Loss: 0.572820]
Training Epoch 1: [91%   Loss: 0.665802]
Training Epoch 1: [92%   Loss: 0.828823]
Training Epoch 1: [93%   Loss: 0.746003]
Training Epoch 1: [94%   Loss: 0.691714]
Training Epoch 1: [95%   Loss: 0.816542]
Training Epoch 1: [96%   Loss: 0.968853]
Training Epoch 1: [98%   Loss: 0.838893]
Training Epoch 1: [99%   Loss: 0.579458]
Training Epoch 1: [100%   Loss: 0.554587]
Validation: Average loss: 0.0229, Accuracy: 80.7%
Training epoch 1 finished!
_________________________________________
Starting epoch 2
Training Epoch 2: [0%   Loss: 0.881099]
Training Epoch 2: [1%   Loss: 0.819882]
Training Epoch 2: [2%   Loss: 1.088873]
Training Epoch 2: [3%   Loss: 0.737178]
Training Epoch 2: [4%   Loss: 0.831125]
Training Epoch 2: [6%   Loss: 0.829264]
Training Epoch 2: [7%   Loss: 0.909975]
Training Epoch 2: [8%   Loss: 0.650660]
Training Epoch 2: [9%   Loss: 0.803766]
Training Epoch 2: [10%   Loss: 0.586999]
Training Epoch 2: [11%   Loss: 0.794048]
Training Epoch 2: [12%   Loss: 0.401667]
Training Epoch 2: [13%   Loss: 1.516561]
Training Epoch 2: [15%   Loss: 0.817659]
Training Epoch 2: [16%   Loss: 1.004196]
Training Epoch 2: [17%   Loss: 1.050184]
Training Epoch 2: [18%   Loss: 0.220949]
Training Epoch 2: [19%   Loss: 0.627011]
Training Epoch 2: [20%   Loss: 1.006511]
Training Epoch 2: [21%   Loss: 0.415700]
Training Epoch 2: [22%   Loss: 0.590266]
Training Epoch 2: [24%   Loss: 0.724592]
Training Epoch 2: [25%   Loss: 0.901237]
Training Epoch 2: [26%   Loss: 0.635424]
Training Epoch 2: [27%   Loss: 0.704315]
Training Epoch 2: [28%   Loss: 0.779904]
Training Epoch 2: [29%   Loss: 0.822284]
Training Epoch 2: [30%   Loss: 0.429954]
Training Epoch 2: [31%   Loss: 1.106253]
Training Epoch 2: [33%   Loss: 0.641355]
Training Epoch 2: [34%   Loss: 0.393876]
Training Epoch 2: [35%   Loss: 0.872214]
Training Epoch 2: [36%   Loss: 0.708543]
Training Epoch 2: [37%   Loss: 0.697833]
Training Epoch 2: [38%   Loss: 0.482786]
Training Epoch 2: [39%   Loss: 0.600714]
Training Epoch 2: [40%   Loss: 0.475573]
Training Epoch 2: [41%   Loss: 0.823287]
Training Epoch 2: [43%   Loss: 0.549091]
Training Epoch 2: [44%   Loss: 1.422546]
Training Epoch 2: [45%   Loss: 0.779627]
Training Epoch 2: [46%   Loss: 0.489154]
Training Epoch 2: [47%   Loss: 0.671546]
Training Epoch 2: [48%   Loss: 0.442207]
Training Epoch 2: [49%   Loss: 0.541049]
Training Epoch 2: [50%   Loss: 0.916693]
Training Epoch 2: [52%   Loss: 0.336623]
Training Epoch 2: [53%   Loss: 0.846662]
Training Epoch 2: [54%   Loss: 1.017507]
Training Epoch 2: [55%   Loss: 0.766276]
Training Epoch 2: [56%   Loss: 0.332283]
Training Epoch 2: [57%   Loss: 0.659217]
Training Epoch 2: [58%   Loss: 0.425776]
Training Epoch 2: [59%   Loss: 0.430875]
Training Epoch 2: [61%   Loss: 0.654534]
Training Epoch 2: [62%   Loss: 0.614127]
Training Epoch 2: [63%   Loss: 0.888881]
Training Epoch 2: [64%   Loss: 1.248996]
Training Epoch 2: [65%   Loss: 0.693844]
Training Epoch 2: [66%   Loss: 0.976721]
Training Epoch 2: [67%   Loss: 0.998480]
Training Epoch 2: [68%   Loss: 0.320649]
Training Epoch 2: [70%   Loss: 0.579459]
Training Epoch 2: [71%   Loss: 0.733258]
Training Epoch 2: [72%   Loss: 1.000230]
Training Epoch 2: [73%   Loss: 0.676601]
Training Epoch 2: [74%   Loss: 0.288523]
Training Epoch 2: [75%   Loss: 0.667637]
Training Epoch 2: [76%   Loss: 0.928626]
Training Epoch 2: [77%   Loss: 0.480759]
Training Epoch 2: [78%   Loss: 0.691334]
Training Epoch 2: [80%   Loss: 0.625272]
Training Epoch 2: [81%   Loss: 0.569365]
Training Epoch 2: [82%   Loss: 0.487746]
Training Epoch 2: [83%   Loss: 0.457347]
Training Epoch 2: [84%   Loss: 0.762937]
Training Epoch 2: [85%   Loss: 0.578703]
Training Epoch 2: [86%   Loss: 0.476370]
Training Epoch 2: [87%   Loss: 0.824648]
Training Epoch 2: [89%   Loss: 0.341995]
Training Epoch 2: [90%   Loss: 0.874807]
Training Epoch 2: [91%   Loss: 0.874985]
Training Epoch 2: [92%   Loss: 1.000498]
Training Epoch 2: [93%   Loss: 0.468586]
Training Epoch 2: [94%   Loss: 0.936633]
Training Epoch 2: [95%   Loss: 0.950842]
Training Epoch 2: [96%   Loss: 0.690278]
Training Epoch 2: [98%   Loss: 0.549329]
Training Epoch 2: [99%   Loss: 0.504321]
Training Epoch 2: [100%   Loss: 0.621088]
Validation: Average loss: 0.0208, Accuracy: 81.8%
Training epoch 2 finished!
_________________________________________
Starting epoch 3
Training Epoch 3: [0%   Loss: 0.694289]
Training Epoch 3: [1%   Loss: 0.663292]
Training Epoch 3: [2%   Loss: 0.544580]
Training Epoch 3: [3%   Loss: 0.487189]
Training Epoch 3: [4%   Loss: 0.649711]
Training Epoch 3: [6%   Loss: 0.796996]
Training Epoch 3: [7%   Loss: 1.067326]
Training Epoch 3: [8%   Loss: 0.803530]
Training Epoch 3: [9%   Loss: 1.010334]
Training Epoch 3: [10%   Loss: 0.649650]
Training Epoch 3: [11%   Loss: 0.676112]
Training Epoch 3: [12%   Loss: 0.497218]
Training Epoch 3: [13%   Loss: 0.624735]
Training Epoch 3: [15%   Loss: 0.594442]
Training Epoch 3: [16%   Loss: 0.454153]
Training Epoch 3: [17%   Loss: 0.988024]
Training Epoch 3: [18%   Loss: 0.386722]
Training Epoch 3: [19%   Loss: 0.378797]
Training Epoch 3: [20%   Loss: 1.070261]
Training Epoch 3: [21%   Loss: 0.287140]
Training Epoch 3: [22%   Loss: 0.580957]
Training Epoch 3: [24%   Loss: 0.705489]
Training Epoch 3: [25%   Loss: 1.091510]
Training Epoch 3: [26%   Loss: 1.305668]
Training Epoch 3: [27%   Loss: 0.464451]
Training Epoch 3: [28%   Loss: 0.295321]
Training Epoch 3: [29%   Loss: 0.399979]
Training Epoch 3: [30%   Loss: 0.633942]
Training Epoch 3: [31%   Loss: 0.869449]
Training Epoch 3: [33%   Loss: 0.285915]
Training Epoch 3: [34%   Loss: 0.909847]
Training Epoch 3: [35%   Loss: 0.882820]
Training Epoch 3: [36%   Loss: 0.708035]
Training Epoch 3: [37%   Loss: 0.388322]
Training Epoch 3: [38%   Loss: 0.474083]
Training Epoch 3: [39%   Loss: 0.534439]
Training Epoch 3: [40%   Loss: 0.527920]
Training Epoch 3: [41%   Loss: 0.328888]
Training Epoch 3: [43%   Loss: 0.739442]
Training Epoch 3: [44%   Loss: 0.743318]
Training Epoch 3: [45%   Loss: 0.724879]
Training Epoch 3: [46%   Loss: 0.552820]
Training Epoch 3: [47%   Loss: 0.594333]
Training Epoch 3: [48%   Loss: 0.883507]
Training Epoch 3: [49%   Loss: 0.681781]
Training Epoch 3: [50%   Loss: 0.537768]
Training Epoch 3: [52%   Loss: 0.491931]
Training Epoch 3: [53%   Loss: 0.448912]
Training Epoch 3: [54%   Loss: 0.416346]
Training Epoch 3: [55%   Loss: 0.550986]
Training Epoch 3: [56%   Loss: 0.508530]
Training Epoch 3: [57%   Loss: 0.739619]
Training Epoch 3: [58%   Loss: 0.446840]
Training Epoch 3: [59%   Loss: 0.656539]
Training Epoch 3: [61%   Loss: 0.514619]
Training Epoch 3: [62%   Loss: 0.503357]
Training Epoch 3: [63%   Loss: 0.959105]
Training Epoch 3: [64%   Loss: 0.786110]
Training Epoch 3: [65%   Loss: 0.256432]
Training Epoch 3: [66%   Loss: 0.650884]
Training Epoch 3: [67%   Loss: 0.479313]
Training Epoch 3: [68%   Loss: 0.652479]
Training Epoch 3: [70%   Loss: 0.847751]
Training Epoch 3: [71%   Loss: 0.672829]
Training Epoch 3: [72%   Loss: 0.635079]
Training Epoch 3: [73%   Loss: 0.431145]
Training Epoch 3: [74%   Loss: 0.370962]
Training Epoch 3: [75%   Loss: 1.055489]
Training Epoch 3: [76%   Loss: 0.637574]
Training Epoch 3: [77%   Loss: 0.885285]
Training Epoch 3: [78%   Loss: 0.844489]
Training Epoch 3: [80%   Loss: 0.295344]
Training Epoch 3: [81%   Loss: 0.899179]
Training Epoch 3: [82%   Loss: 0.424608]
Training Epoch 3: [83%   Loss: 0.709076]
Training Epoch 3: [84%   Loss: 1.221948]
Training Epoch 3: [85%   Loss: 0.580677]
Training Epoch 3: [86%   Loss: 0.730751]
Training Epoch 3: [87%   Loss: 0.819534]
Training Epoch 3: [89%   Loss: 0.377118]
Training Epoch 3: [90%   Loss: 0.382738]
Training Epoch 3: [91%   Loss: 0.879978]
Training Epoch 3: [92%   Loss: 1.034076]
Training Epoch 3: [93%   Loss: 0.214757]
Training Epoch 3: [94%   Loss: 0.374251]
Training Epoch 3: [95%   Loss: 0.456304]
Training Epoch 3: [96%   Loss: 0.917430]
Training Epoch 3: [98%   Loss: 0.355351]
Training Epoch 3: [99%   Loss: 0.753968]
Training Epoch 3: [100%   Loss: 0.376702]
Validation: Average loss: 0.0212, Accuracy: 80.9%
Training epoch 3 finished!
_________________________________________
Starting epoch 4
Training Epoch 4: [0%   Loss: 0.724708]
Training Epoch 4: [1%   Loss: 0.549923]
Training Epoch 4: [2%   Loss: 0.690882]
Training Epoch 4: [3%   Loss: 0.349918]
Training Epoch 4: [4%   Loss: 1.202247]
Training Epoch 4: [6%   Loss: 0.455807]
Training Epoch 4: [7%   Loss: 0.751183]
Training Epoch 4: [8%   Loss: 0.374133]
Training Epoch 4: [9%   Loss: 0.957853]
Training Epoch 4: [10%   Loss: 0.505777]
Training Epoch 4: [11%   Loss: 0.552167]
Training Epoch 4: [12%   Loss: 0.815873]
Training Epoch 4: [13%   Loss: 0.914578]
Training Epoch 4: [15%   Loss: 0.394777]
Training Epoch 4: [16%   Loss: 0.606550]
Training Epoch 4: [17%   Loss: 0.589829]
Training Epoch 4: [18%   Loss: 0.527844]
Training Epoch 4: [19%   Loss: 0.751342]
Training Epoch 4: [20%   Loss: 0.670934]
Training Epoch 4: [21%   Loss: 0.647014]
Training Epoch 4: [22%   Loss: 0.854808]
Training Epoch 4: [24%   Loss: 0.506265]
Training Epoch 4: [25%   Loss: 0.537069]
Training Epoch 4: [26%   Loss: 0.676772]
Training Epoch 4: [27%   Loss: 0.448740]
Training Epoch 4: [28%   Loss: 0.370966]
Training Epoch 4: [29%   Loss: 0.680208]
Training Epoch 4: [30%   Loss: 0.870633]
Training Epoch 4: [31%   Loss: 0.408675]
Training Epoch 4: [33%   Loss: 0.511104]
Training Epoch 4: [34%   Loss: 0.934940]
Training Epoch 4: [35%   Loss: 0.430943]
Training Epoch 4: [36%   Loss: 0.670053]
Training Epoch 4: [37%   Loss: 0.598546]
Training Epoch 4: [38%   Loss: 0.582229]
Training Epoch 4: [39%   Loss: 0.483990]
Training Epoch 4: [40%   Loss: 0.463556]
Training Epoch 4: [41%   Loss: 0.599352]
Training Epoch 4: [43%   Loss: 0.647338]
Training Epoch 4: [44%   Loss: 0.718534]
Training Epoch 4: [45%   Loss: 0.745682]
Training Epoch 4: [46%   Loss: 0.550581]
Training Epoch 4: [47%   Loss: 0.766957]
Training Epoch 4: [48%   Loss: 0.954643]
Training Epoch 4: [49%   Loss: 0.969121]
Training Epoch 4: [50%   Loss: 0.981173]
Training Epoch 4: [52%   Loss: 0.794307]
Training Epoch 4: [53%   Loss: 0.306047]
Training Epoch 4: [54%   Loss: 0.383934]
Training Epoch 4: [55%   Loss: 0.681854]
Training Epoch 4: [56%   Loss: 0.828852]
Training Epoch 4: [57%   Loss: 0.342786]
Training Epoch 4: [58%   Loss: 0.410683]
Training Epoch 4: [59%   Loss: 0.640812]
Training Epoch 4: [61%   Loss: 0.764385]
Training Epoch 4: [62%   Loss: 0.325748]
Training Epoch 4: [63%   Loss: 0.739331]
Training Epoch 4: [64%   Loss: 0.519433]
Training Epoch 4: [65%   Loss: 0.539121]
Training Epoch 4: [66%   Loss: 1.232160]
Training Epoch 4: [67%   Loss: 0.504789]
Training Epoch 4: [68%   Loss: 0.580086]
Training Epoch 4: [70%   Loss: 0.449606]
Training Epoch 4: [71%   Loss: 0.344673]
Training Epoch 4: [72%   Loss: 0.359463]
Training Epoch 4: [73%   Loss: 0.817937]
Training Epoch 4: [74%   Loss: 1.012308]
Training Epoch 4: [75%   Loss: 0.678854]
Training Epoch 4: [76%   Loss: 0.538227]
Training Epoch 4: [77%   Loss: 0.575346]
Training Epoch 4: [78%   Loss: 0.915818]
Training Epoch 4: [80%   Loss: 0.599926]
Training Epoch 4: [81%   Loss: 0.672645]
Training Epoch 4: [82%   Loss: 0.622136]
Training Epoch 4: [83%   Loss: 0.517218]
Training Epoch 4: [84%   Loss: 0.444187]
Training Epoch 4: [85%   Loss: 0.328683]
Training Epoch 4: [86%   Loss: 0.332463]
Training Epoch 4: [87%   Loss: 0.630224]
Training Epoch 4: [89%   Loss: 0.746562]
Training Epoch 4: [90%   Loss: 0.625768]
Training Epoch 4: [91%   Loss: 1.127655]
Training Epoch 4: [92%   Loss: 0.727994]
Training Epoch 4: [93%   Loss: 0.705596]
Training Epoch 4: [94%   Loss: 0.414341]
Training Epoch 4: [95%   Loss: 0.545582]
Training Epoch 4: [96%   Loss: 0.697634]
Training Epoch 4: [98%   Loss: 0.659045]
Training Epoch 4: [99%   Loss: 0.694677]
Training Epoch 4: [100%   Loss: 0.675449]
Validation: Average loss: 0.0196, Accuracy: 82.3%
Training epoch 4 finished!
_________________________________________
Starting epoch 5
Training Epoch 5: [0%   Loss: 0.679686]
Training Epoch 5: [1%   Loss: 0.555651]
Training Epoch 5: [2%   Loss: 0.676329]
Training Epoch 5: [3%   Loss: 0.372885]
Training Epoch 5: [4%   Loss: 0.601554]
Training Epoch 5: [6%   Loss: 0.504750]
Training Epoch 5: [7%   Loss: 0.591095]
Training Epoch 5: [8%   Loss: 0.794320]
Training Epoch 5: [9%   Loss: 0.406085]
Training Epoch 5: [10%   Loss: 0.418717]
Training Epoch 5: [11%   Loss: 0.590810]
Training Epoch 5: [12%   Loss: 0.446010]
Training Epoch 5: [13%   Loss: 0.603014]
Training Epoch 5: [15%   Loss: 0.354270]
Training Epoch 5: [16%   Loss: 0.440353]
Training Epoch 5: [17%   Loss: 0.770480]
Training Epoch 5: [18%   Loss: 0.470669]
Training Epoch 5: [19%   Loss: 0.646283]
Training Epoch 5: [20%   Loss: 1.183339]
Training Epoch 5: [21%   Loss: 0.426081]
Training Epoch 5: [22%   Loss: 0.442297]
Training Epoch 5: [24%   Loss: 0.872726]
Training Epoch 5: [25%   Loss: 0.445627]
Training Epoch 5: [26%   Loss: 0.585796]
Training Epoch 5: [27%   Loss: 0.407497]
Training Epoch 5: [28%   Loss: 0.843402]
Training Epoch 5: [29%   Loss: 0.629188]
Training Epoch 5: [30%   Loss: 0.521235]
Training Epoch 5: [31%   Loss: 0.274017]
Training Epoch 5: [33%   Loss: 0.475247]
Training Epoch 5: [34%   Loss: 0.498080]
Training Epoch 5: [35%   Loss: 0.844408]
Training Epoch 5: [36%   Loss: 0.759626]
Training Epoch 5: [37%   Loss: 0.447851]
Training Epoch 5: [38%   Loss: 0.439773]
Training Epoch 5: [39%   Loss: 0.374916]
Training Epoch 5: [40%   Loss: 0.319748]
Training Epoch 5: [41%   Loss: 0.975865]
Training Epoch 5: [43%   Loss: 0.277889]
Training Epoch 5: [44%   Loss: 0.798491]
Training Epoch 5: [45%   Loss: 0.454248]
Training Epoch 5: [46%   Loss: 0.488384]
Training Epoch 5: [47%   Loss: 1.095620]
Training Epoch 5: [48%   Loss: 0.654884]
Training Epoch 5: [49%   Loss: 0.744209]
Training Epoch 5: [50%   Loss: 0.901858]
Training Epoch 5: [52%   Loss: 0.528098]
Training Epoch 5: [53%   Loss: 0.757569]
Training Epoch 5: [54%   Loss: 0.472737]
Training Epoch 5: [55%   Loss: 0.592384]
Training Epoch 5: [56%   Loss: 0.555975]
Training Epoch 5: [57%   Loss: 0.752499]
Training Epoch 5: [58%   Loss: 0.710703]
Training Epoch 5: [59%   Loss: 0.667749]
Training Epoch 5: [61%   Loss: 0.506447]
Training Epoch 5: [62%   Loss: 0.608626]
Training Epoch 5: [63%   Loss: 0.279006]
Training Epoch 5: [64%   Loss: 1.070780]
Training Epoch 5: [65%   Loss: 1.197690]
Training Epoch 5: [66%   Loss: 0.651761]
Training Epoch 5: [67%   Loss: 0.516492]
Training Epoch 5: [68%   Loss: 0.502826]
Training Epoch 5: [70%   Loss: 0.356092]
Training Epoch 5: [71%   Loss: 0.909096]
Training Epoch 5: [72%   Loss: 0.684427]
Training Epoch 5: [73%   Loss: 0.355860]
Training Epoch 5: [74%   Loss: 0.920080]
Training Epoch 5: [75%   Loss: 0.804704]
Training Epoch 5: [76%   Loss: 0.367060]
Training Epoch 5: [77%   Loss: 0.387471]
Training Epoch 5: [78%   Loss: 0.539567]
Training Epoch 5: [80%   Loss: 0.412889]
Training Epoch 5: [81%   Loss: 0.775394]
Training Epoch 5: [82%   Loss: 0.846851]
Training Epoch 5: [83%   Loss: 0.983137]
Training Epoch 5: [84%   Loss: 0.885985]
Training Epoch 5: [85%   Loss: 0.505498]
Training Epoch 5: [86%   Loss: 0.696137]
Training Epoch 5: [87%   Loss: 0.560823]
Training Epoch 5: [89%   Loss: 1.092646]
Training Epoch 5: [90%   Loss: 0.542365]
Training Epoch 5: [91%   Loss: 0.550666]
Training Epoch 5: [92%   Loss: 0.653912]
Training Epoch 5: [93%   Loss: 0.859990]
Training Epoch 5: [94%   Loss: 0.624305]
Training Epoch 5: [95%   Loss: 0.679262]
Training Epoch 5: [96%   Loss: 0.894717]
Training Epoch 5: [98%   Loss: 0.584898]
Training Epoch 5: [99%   Loss: 0.922819]
Training Epoch 5: [100%   Loss: 0.636869]
Validation: Average loss: 0.0192, Accuracy: 82.9%
Training epoch 5 finished!
_________________________________________

Testing accuracy: 82.4%
