[I 2023-11-28 20:45:41,153] A new study created in memory with name: no-name-3330f25c-0ff7-4ede-b712-2d486274669a
[I 2023-11-28 20:45:49,308] Trial 0 finished with value: 0.8953526427753232 and parameters: {'lr': 0.07539325744538476, 'n_layers': 1, 'layer_size': 64}. Best is trial 0 with value: 0.8953526427753232.
[I 2023-11-28 21:06:34,199] Trial 83 finished with value: 0.9565537555228277 and parameters: {'lr': 0.0012637180223498408, 'n_layers': 3, 'layer_size': 256}. Best is trial 65 with value: 0.9603174603174603.
[I 2023-11-28 21:06:52,952] Trial 84 finished with value: 0.9530355097365406 and parameters: {'lr': 0.0009659698717237139, 'n_layers': 3, 'layer_size': 256}. Best is trial 65 with value: 0.9603174603174603.
[I 2023-11-28 21:07:02,622] Trial 85 finished with value: 0.9477172312223858 and parameters: {'lr': 0.0019480639490150969, 'n_layers': 3, 'layer_size': 32}. Best is trial 65 with value: 0.9603174603174603.
[I 2023-11-28 21:07:21,768] Trial 86 finished with value: 0.957208312878416 and parameters: {'lr': 0.00157652954167244, 'n_layers': 3, 'layer_size': 256}. Best is trial 65 with value: 0.9603174603174603.
[I 2023-11-28 21:07:40,738] Trial 87 finished with value: 0.9513991163475699 and parameters: {'lr': 0.0008182900832942794, 'n_layers': 3, 'layer_size': 256}. Best is trial 65 with value: 0.9603174603174603.
[I 2023-11-28 21:07:57,066] Trial 88 finished with value: 0.9523809523809523 and parameters: {'lr': 0.0028134727192307067, 'n_layers': 3, 'layer_size': 128}. Best is trial 65 with value: 0.9603174603174603.
[I 2023-11-28 21:08:15,892] Trial 89 finished with value: 0.9521354933726067 and parameters: {'lr': 0.0012150226508183396, 'n_layers': 3, 'layer_size': 256}. Best is trial 65 with value: 0.9603174603174603.
[I 2023-11-28 21:08:26,782] Trial 90 finished with value: 0.9409261986581574 and parameters: {'lr': 0.000645632756635822, 'n_layers': 3, 'layer_size': 64}. Best is trial 65 with value: 0.9603174603174603.
[I 2023-11-28 21:08:42,425] Trial 91 finished with value: 0.9501718213058419 and parameters: {'lr': 0.00043286982712857755, 'n_layers': 3, 'layer_size': 256}. Best is trial 65 with value: 0.9603174603174603.
[I 2023-11-28 21:09:00,445] Trial 92 finished with value: 0.9514809360170184 and parameters: {'lr': 0.0005005144055477978, 'n_layers': 3, 'layer_size': 256}. Best is trial 65 with value: 0.9603174603174603.
[I 2023-11-28 21:09:17,362] Trial 93 finished with value: 0.9563901161839307 and parameters: {'lr': 0.0009929120079590736, 'n_layers': 3, 'layer_size': 256}. Best is trial 65 with value: 0.9603174603174603.
[I 2023-11-28 21:09:33,596] Trial 94 finished with value: 0.9524627720504009 and parameters: {'lr': 0.0007953198319254036, 'n_layers': 3, 'layer_size': 256}. Best is trial 65 with value: 0.9603174603174603.
[I 2023-11-28 21:09:51,158] Trial 95 finished with value: 0.9562264768450336 and parameters: {'lr': 0.0013610991184122827, 'n_layers': 3, 'layer_size': 256}. Best is trial 65 with value: 0.9603174603174603.
[I 2023-11-28 21:10:05,762] Trial 96 finished with value: 0.9519718540337097 and parameters: {'lr': 0.0003291045390793511, 'n_layers': 3, 'layer_size': 256}. Best is trial 65 with value: 0.9603174603174603.
[I 2023-11-28 21:10:21,277] Trial 97 finished with value: 0.9541809851088202 and parameters: {'lr': 0.0005765570456567132, 'n_layers': 3, 'layer_size': 256}. Best is trial 65 with value: 0.9603174603174603.
[I 2023-11-28 21:10:39,363] Trial 98 finished with value: 0.9601538209785633 and parameters: {'lr': 0.002158010334973731, 'n_layers': 3, 'layer_size': 256}. Best is trial 65 with value: 0.9603174603174603.
[I 2023-11-28 21:10:58,339] Trial 99 finished with value: 0.9579446899034528 and parameters: {'lr': 0.00219088158118268, 'n_layers': 3, 'layer_size': 256}. Best is trial 65 with value: 0.9603174603174603.
Best trial:
 Value: 0.9603174603174603
 Params: 
    lr: 0.0010663269850729943
    n_layers: 3
    layer_size: 256
